,endTime,artistName,trackName,year,month,seconds_played,minutes_played
749,2021-03-30 19:50:00-03:00,Beck,Think I'm In Love,2021,3,199.426,3.3237666666666663
751,2021-03-30 19:58:00-03:00,Beck,Strange Apparition,2021,3,228.0,3.8
755,2021-03-30 20:11:00-03:00,Beck,Dark Star,2021,3,155.356,2.5892666666666666
758,2021-03-30 20:19:00-03:00,Macy Gray,When It Ends,2021,3,272.6,4.543333333333334
777,2021-03-30 21:09:00-03:00,Buddy Guy,Mustang Sally (feat. Jeff Beck),2021,3,274.18,4.5696666666666665
794,2021-03-31 12:00:00-03:00,Thundercat,Them Changes,2021,3,188.453,3.1408833333333335
800,2021-03-31 15:48:00-03:00,RALPH TV,Taxi Boy,2021,3,126.786,2.1131
801,2021-03-31 15:52:00-03:00,Childish Gambino,Redbone,2021,3,99.75,1.6625
802,2021-03-31 15:58:00-03:00,The Main Squeeze,"Redbone (Blue Nile - New Orleans, 5.03.17) - Live",2021,3,387.013,6.450216666666666
803,2021-03-31 16:05:00-03:00,Soulive,Joyful Girl,2021,3,376.546,6.275766666666667
804,2021-03-31 16:13:00-03:00,Charlie Hunter,Fine Corinthian Leather,2021,3,364.92,6.082
807,2021-03-31 16:25:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
808,2021-03-31 16:30:00-03:00,Pimps of Joytime,Mud featuring Ivan Neville,2021,3,260.173,4.336216666666667
811,2021-03-31 22:44:00-03:00,The Deli,Sagittarius,2021,4,264.22,4.403666666666667
812,2021-04-01 11:01:00-03:00,Carly Rae Jepsen,Call Me Maybe,2021,4,55.73,0.9288333333333333
820,2021-04-01 11:11:00-03:00,Audioslave,One And The Same,2021,4,217.586,3.6264333333333334
825,2021-04-01 11:17:00-03:00,Audioslave,Until We Fall,2021,4,79.726,1.3287666666666667
826,2021-04-01 11:21:00-03:00,Audioslave,Broken City,2021,4,198.74,3.3123333333333336
829,2021-04-01 11:25:00-03:00,Audioslave,Jewel Of The Summertime,2021,4,218.33,3.6388333333333334
833,2021-04-01 11:31:00-03:00,Audioslave,Your Time Has Come,2021,4,255.426,4.257099999999999
834,2021-04-01 11:36:00-03:00,Audioslave,Out Of Exile,2021,4,221.183,3.686383333333333
835,2021-04-01 11:41:00-03:00,Audioslave,Be Yourself,2021,4,278.973,4.6495500000000005
837,2021-04-01 16:48:00-03:00,Audioslave,Doesn't Remind Me,2021,4,155.586,2.5931
842,2021-04-01 16:51:00-03:00,Audioslave,Man Or Animal,2021,4,175.48,2.9246666666666665
843,2021-04-01 16:56:00-03:00,Audioslave,Yesterday To Tomorrow,2021,4,273.68,4.561333333333334
844,2021-04-01 16:57:00-03:00,Audioslave,Dandelion,2021,4,45.51,0.7585
845,2021-04-01 17:02:00-03:00,Audioslave,#1 Zero,2021,4,299.0,4.983333333333333
848,2021-04-01 17:39:00-03:00,Audioslave,Show Me How to Live,2021,4,277.84,4.6306666666666665
849,2021-04-01 17:44:00-03:00,Audioslave,Gasoline,2021,4,279.333,4.655550000000001
850,2021-04-01 19:06:00-03:00,Audioslave,What You Are,2021,4,96.67,1.6111666666666666
853,2021-04-01 19:17:00-03:00,Average White Band,Pick up the Pieces,2021,4,234.586,3.909766666666667
854,2021-04-01 19:20:00-03:00,Shuggie Otis,Funky Thithee,2021,4,192.373,3.2062166666666667
855,2021-04-01 19:24:00-03:00,The Greyboy Allstars,Still Waiting,2021,4,202.56,3.376
856,2021-04-01 19:29:00-03:00,The New Mastersounds,The Vandenburg Suite,2021,4,328.465,5.4744166666666665
857,2021-04-01 19:32:00-03:00,Sly & The Family Stone,If You Want Me to Stay,2021,4,180.493,3.0082166666666668
