endTime,artistName,trackName,msPlayed
2021-12-01 12:54,Martín Buscaglia,Trivial Polonio,3990
2021-12-01 12:54,Martín Buscaglia,Chúpame la Mente Cable,8010
2021-12-01 12:55,Martín Buscaglia,Viajar Contigo Es Como Escuchar la Vida Secreta de las Plantas,42720
2021-12-01 12:55,Tom Misch,Tick Tock,820
2021-12-01 12:55,Greyboy,Got to Be a Love - Paul Nice Remix,1070
2021-12-01 13:00,Peter Green,Slabo Day,309160
2021-12-01 13:31,Morbo y Mambo,Nigerian,134760
2021-12-01 13:32,Talking Heads,Slippery People - 2005 Remaster,10640
2021-12-01 13:32,Peter Green,Slabo Day,56010
2021-12-01 13:33,The Gaddabouts,River Rises,17820
2021-12-01 13:36,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),173940
2021-12-01 13:39,Sly & The Family Stone,If You Want Me to Stay,340
2021-12-01 13:39,Tears For Fears,"Head Over Heels - Dave Bascombe 7"" N.Mix",164450
2021-12-01 13:42,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,193040
2021-12-01 13:48,Tom Misch,Disco Yes,276180
2021-12-01 13:49,Stevie Wonder,I Wish,65040
2021-12-01 13:59,CHIC,Good Times,393410
2021-12-02 12:26,The Greyboy Allstars,V-Neck Sweater,8080
2021-12-02 12:31,Talking Heads,Take Me to the River - 2005 Remaster,302520
2021-12-02 12:35,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,194853
2021-12-02 12:37,Ian Dury,Hit Me With Your Rhythm Stick,98706
2021-12-02 12:43,Honeydripper,All About You,390544
2021-12-02 12:48,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,296146
2021-12-02 12:52,The Temptations,Shakey Ground,241600
2021-12-02 12:57,Weezer,Say It Ain't So,258826
2021-12-02 13:04,The New Mastersounds,102%,0
2021-12-02 13:05,Mac Miller,What's the Use?,34410
2021-12-02 13:06,Booker T. Jones,Rent Party,2400
2021-12-02 13:06,Nikitch,ZBRA,1900
2021-12-02 13:12,Folamour,Just a Lonely Night Eating Sushis,460
2021-12-02 13:12,Oddisee,Beach Dr.,2750
2021-12-02 13:12,Mac Miller,What's the Use?,45100
2021-12-02 13:12,The Poets Of Rhythm,More Mess on My Thing,1110
2021-12-02 13:12,Talking Heads,Burning Down the House,8920
2021-12-02 13:13,Mac Miller,Come Back to Earth,2790
2021-12-02 13:13,Ben Hauke,Nightwork,750
2021-12-02 13:13,kryptogram,How Long Have You Been Away?,17320
2021-12-02 13:13,Dabeull,Don't Forget It,720
2021-12-02 13:13,Tell,Starry Night,860
2021-12-02 13:13,Nikitch,Francis' Theme,780
2021-12-02 13:14,Joss Moog,Wil,3750
2021-12-02 13:14,Tom Misch,It Runs Through Me,29640
2021-12-02 13:19,Fleetwood Mac,Dreams - 2004 Remaster,257800
2021-12-02 13:22,Red Hot Chili Peppers,Apache Rose Peacock,174710
2021-12-02 13:32,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-12-02 13:35,Tom Misch,Tick Tock,151273
2021-12-02 13:44,Peter Green,Slabo Day,309160
2021-12-02 18:47,Morbo y Mambo,Nigerian,129110
2021-12-02 18:52,EMEFE,Greed,4970
2021-12-02 18:52,Martín Buscaglia,"Cerebro, Orgasmo, Envidia & Sofía",255900
2021-12-02 18:52,Flamingosis,Down for the Fifth Time,2040
2021-12-02 18:52,Ocean Alley,Confidence,5410
2021-12-02 18:52,Mac DeMarco,Salad Days,2450
2021-12-02 18:52,Swim Mountain,Somebody New,4030
2021-12-02 18:52,Gativideo,Flash,1510
2021-12-02 18:52,Mac DeMarco,Chamber Of Reflection,4530
